Ensembl	EntrezGene
AT1G01010-TAIR-G	839580
AT1G01020-TAIR-G	839569
AT1G01030-TAIR-G	839321
AT1G01040-TAIR-G	839574
AT1G01050-TAIR-G	839579
AT1G01060-TAIR-G	839341
AT1G01070-TAIR-G	839550
AT1G01073-TAIR-G	7922546
AT1G01080-TAIR-G	839463
AT1G01090-TAIR-G	839429
AT1G01100-TAIR-G	839410
AT1G01110-TAIR-G	839394
AT1G01115-TAIR-G	7922461
AT1G01120-TAIR-G	839395
AT1G01130-TAIR-G	839359
AT1G01140-TAIR-G	839349
AT1G01150-TAIR-G	839294
AT1G01160-TAIR-G	839278
AT1G01170-TAIR-G	839263
AT1G01180-TAIR-G	839239
AT1G01190-TAIR-G	839233
AT1G01200-TAIR-G	839493
AT1G01210-TAIR-G	839481
AT1G01220-TAIR-G	839420
AT1G01225-TAIR-G	839358
AT1G01230-TAIR-G	839331
AT1G01240-TAIR-G	839274
AT1G01250-TAIR-G	839322
AT1G01260-TAIR-G	839545
AT1G01280-TAIR-G	839470
AT1G01290-TAIR-G	839445
AT1G01300-TAIR-G	839375
AT1G01305-TAIR-G	6240609
AT1G01310-TAIR-G	839333
AT1G01320-TAIR-G	839293
AT1G01340-TAIR-G	838832
AT1G01350-TAIR-G	838964
AT1G01355-TAIR-G	6241268
AT1G01360-TAIR-G	838452
AT1G01370-TAIR-G	839104
AT1G01380-TAIR-G	838096
AT1G01390-TAIR-G	837790
AT1G01400-TAIR-G	837049
AT1G01410-TAIR-G	837547
AT1G01420-TAIR-G	837503
AT1G01430-TAIR-G	837247
AT1G01440-TAIR-G	837155
AT1G01450-TAIR-G	837060
AT1G01453-TAIR-G	6240388
AT1G01460-TAIR-G	839469
AT1G01470-TAIR-G	837071
AT1G01471-TAIR-G	6240818
AT1G01480-TAIR-G	837082
AT1G01490-TAIR-G	839440
AT1G01500-TAIR-G	839430
AT1G01510-TAIR-G	839401
AT1G01520-TAIR-G	839337
AT1G01530-TAIR-G	837142
AT1G01540-TAIR-G	839533
AT1G01550-TAIR-G	839536
AT1G01560-TAIR-G	839523
AT1G01570-TAIR-G	837183
AT1G01580-TAIR-G	839411
AT1G01590-TAIR-G	837194
AT1G01600-TAIR-G	839347
AT1G01610-TAIR-G	839297
AT1G01620-TAIR-G	839235
AT1G01630-TAIR-G	839231
AT1G01640-TAIR-G	839534
AT1G01650-TAIR-G	839499
AT1G01660-TAIR-G	839461
AT1G01670-TAIR-G	839365
AT1G01680-TAIR-G	839251
AT1G01690-TAIR-G	839243
AT1G01695-TAIR-G	6241450
AT1G01700-TAIR-G	839250
AT1G01710-TAIR-G	839254
AT1G01720-TAIR-G	839265
AT1G01725-TAIR-G	839271
AT1G01730-TAIR-G	839260
AT1G01740-TAIR-G	839253
AT1G01750-TAIR-G	839281
AT1G01760-TAIR-G	839252
AT1G01770-TAIR-G	837323
AT1G01780-TAIR-G	839267
AT1G01790-TAIR-G	837332
AT1G01800-TAIR-G	839259
AT1G01810-TAIR-G	839247
AT1G01820-TAIR-G	839257
AT1G01830-TAIR-G	839264
AT1G01840-TAIR-G	839291
AT1G01860-TAIR-G	839283
AT1G01880-TAIR-G	837373
AT1G01900-TAIR-G	839318
AT1G01910-TAIR-G	839305
AT1G01920-TAIR-G	839313
AT1G01930-TAIR-G	839310
AT1G01940-TAIR-G	839309
AT1G01950-TAIR-G	839306
AT1G01960-TAIR-G	839301
AT1G01970-TAIR-G	839299
AT1G01980-TAIR-G	839296
AT1G01990-TAIR-G	837456
AT1G02000-TAIR-G	839289
AT1G02010-TAIR-G	839288
AT1G02020-TAIR-G	837477
AT1G02030-TAIR-G	839285
AT1G02040-TAIR-G	839284
AT1G02050-TAIR-G	839280
AT1G02060-TAIR-G	839279
AT1G02065-TAIR-G	839275
AT1G02070-TAIR-G	839270
AT1G02074-TAIR-G	6240588
AT1G02080-TAIR-G	839244
AT1G02090-TAIR-G	839241
AT1G02100-TAIR-G	837541
AT1G02110-TAIR-G	839234
AT1G02120-TAIR-G	839232
AT1G02130-TAIR-G	837023
AT1G02140-TAIR-G	837560
AT1G02145-TAIR-G	5007658
AT1G02150-TAIR-G	839577
